FinancialYear,SettlementDate,SettlementPeriod,1,2,3,4,5,6,7,8,9
2020/21,43928,20,25,17,7,35,14,14,16,8,9
2020/21,43928,21,29,29,9,37,9,9,22,11,12
2020/21,43928,22,17,34,7,41,10,10,28,14,15
2020/21,43928,23,15,47,20,62,5,5,24,12,17
2020/21,43928,24,22,49,20,72,5,5,24,12,21
2020/21,43928,25,22,58,31,73,5,5,28,14,31
2020/21,43928,26,22,63,30,85,7,7,22,11,38
2020/21,43928,27,23,76,30,89,6,6,18,9,41
2020/21,43928,28,23,78,29,84,3,3,20,10,49
2020/21,43928,29,24,77,31,71,5,5,20,10,52
2020/21,43928,30,25,80,24,79,6,6,26,13,49
2020/21,43928,31,25,75,27,81,14,14,32,16,50
2020/21,43928,32,4,75,32,79,20,20,36,18,65
2020/21,43928,33,3,71,32,86,25,25,38,19,61
2020/21,43928,34,23,73,26,90,34,34,38,19,61
2020/21,43928,35,19,73,20,86,40,40,32,16,67
2020/21,43928,36,32,65,16,88,43,43,24,12,79
2020/21,43928,37,28,60,15,65,46,46,28,14,62
2020/21,43928,38,27,65,13,60,49,49,28,14,63
2020/21,43928,39,29,74,11,59,52,52,24,12,86
2020/21,43928,40,24,74,8,46,48,48,28,14,100
2020/21,43928,41,19,57,10,45,45,45,38,19,100
2020/21,43928,42,19,49,9,29,30,30,46,23,92
2020/21,43928,43,14,44,8,22,20,20,42,21,101
2020/21,43928,44,3,49,7,19,16,16,34,17,102
2020/21,43928,45,5,47,6,20,17,17,26,13,101
2020/21,43928,46,17,41,4,26,18,18,22,11,102
2020/21,43928,47,27,30,6,27,18,18,18,9,98
2020/21,43928,48,21,25,7,30,18,18,16,8,94
2020/21,43929,1,21,17,7,28,13,13,16,8,67
2020/21,43929,2,29,17,6,24,10,10,20,10,46
2020/21,43929,3,32,14,5,32,8,8,16,8,33
2020/21,43929,4,28,11,2,29,3,3,14,7,24
2020/21,43929,5,21,13,3,28,1,1,10,5,19
2020/21,43929,6,15,11,3,29,4,4,4,2,14
2020/21,43929,7,18,11,3,30,3,3,8,4,9
2020/21,43929,8,17,12,2,34,3,3,6,3,5
2020/21,43929,9,6,15,3,30,3,3,4,2,2
2020/21,43929,10,3,15,50,21,2,2,0,0,1
2020/21,43929,11,3,15,7,22,2,2,2,1,0
2020/21,43929,12,2,11,4,16,2,2,0,0,0
2020/21,43929,13,2,7,1,17,1,1,0,0,0
2020/21,43929,14,2,10,1,19,2,2,0,0,0
2020/21,43929,15,4,11,2,18,2,2,2,1,0
2020/21,43929,16,3,15,3,23,2,2,0,0,0
2020/21,43929,17,2,20,3,22,6,6,0,0,0
2020/21,43929,18,3,25,3,28,6,6,0,0,1
2020/21,43929,19,1,26,3,36,5,5,0,0,0
2020/21,43929,20,1,37,6,46,7,7,0,0,1
2020/21,43929,21,1,34,12,52,6,6,0,0,1
2020/21,43929,22,1,32,13,63,7,7,0,0,3
2020/21,43929,23,2,29,15,64,8,8,0,0,3
2020/21,43929,24,2,27,14,66,8,8,0,0,3
2020/21,43929,25,1,26,15,66,9,9,0,0,2
2020/21,43929,26,3,23,19,49,11,11,2,1,2
2020/21,43929,27,1,19,15,50,9,9,4,2,2
2020/21,43929,28,3,17,15,60,7,7,4,2,4
2020/21,43929,29,7,17,13,52,9,9,4,2,6
2020/21,43929,30,7,18,11,55,10,10,2,1,7
2020/21,43929,31,7,20,10,43,12,12,4,2,10
2020/21,43929,32,7,14,6,31,11,11,4,2,17
2020/21,43929,33,7,20,6,22,12,12,6,3,21
2020/21,43929,34,7,24,7,14,16,16,12,6,23
2020/21,43929,35,6,22,4,9,12,12,14,7,21
2020/21,43929,36,4,17,5,3,7,7,10,5,31
2020/21,43929,37,3,14,1,1,7,7,4,2,40
2020/21,43929,38,4,6,2,1,7,7,4,2,37
2020/21,43929,39,2,5,3,1,7,7,4,2,32
2020/21,43929,40,2,1,1,5,7,7,6,3,28
2020/21,43929,41,1,0,1,4,7,7,6,3,22
2020/21,43929,42,1,0,1,2,7,7,6,3,26
2020/21,43929,43,1,2,1,0,7,7,4,2,25
2020/21,43929,44,1,4,1,0,10,10,4,2,16
2020/21,43929,45,1,1,0,1,9,9,8,4,9
2020/21,43929,46,1,-1,0,1,8,8,8,4,6
2020/21,43929,47,1,-1,0,0,8,8,4,2,2
2020/21,43929,48,1,-1,0,0,5,5,2,1,1
2020/21,43930,1,1,-1,0,0,5,5,6,3,3
2020/21,43930,2,1,-1,0,0,5,5,2,1,7
2020/21,43930,3,1,-1,0,0,4,4,2,1,18
2020/21,43930,4,1,-1,0,0,5,5,2,1,41
2020/21,43930,5,1,-1,0,2,4,4,0,0,46
2020/21,43930,6,1,-1,0,7,5,5,2,1,60
2020/21,43930,7,1,-1,0,10,5,5,2,1,66
2020/21,43930,8,1,-1,1,13,4,4,2,1,85
2020/21,43930,9,1,-1,1,15,5,5,2,1,94
2020/21,43930,10,1,0,10,14,6,6,4,2,93
2020/21,43930,11,1,0,1,14,5,5,4,2,87
2020/21,43930,12,1,0,1,15,4,4,4,2,74
2020/21,43930,13,1,1,1,15,4,4,2,1,72
2020/21,43930,14,1,1,1,15,4,4,2,1,56
2020/21,43930,15,1,2,1,13,4,4,4,2,36
2020/21,43930,16,1,3,1,13,5,5,4,2,36
2020/21,43930,17,1,3,2,12,6,6,2,1,37
2020/21,43930,18,2,3,6,11,6,6,8,4,25
2020/21,43930,19,2,4,5,10,8,8,10,5,22
2020/21,43930,20,3,5,2,10,8,8,8,4,23
2020/21,43930,21,5,5,2,6,8,8,8,4,24
2020/21,43930,22,6,6,3,6,2,2,12,6,24
2020/21,43930,23,7,6,3,5,2,2,14,7,32
2020/21,43930,24,9,5,4,4,5,5,18,9,29
2020/21,43930,25,9,8,4,2,9,9,26,13,37
2020/21,43930,26,9,10,3,3,17,17,36,18,39
2020/21,43930,27,9,8,4,7,18,18,48,24,35
2020/21,43930,28,7,6,3,6,22,22,50,25,33
2020/21,43930,29,7,4,3,6,25,25,50,25,28
2020/21,43930,30,7,3,4,8,29,29,52,26,30
2020/21,43930,31,8,2,4,11,30,30,50,25,30
2020/21,43930,32,10,1,4,11,29,29,52,26,33
2020/21,43930,33,9,1,5,14,28,28,40,20,24
2020/21,43930,34,8,3,4,14,28,28,44,22,26
2020/21,43930,35,5,3,4,12,32,32,40,20,23
2020/21,43930,36,4,4,6,13,37,37,38,19,25
2020/21,43930,37,4,5,5,12,41,41,40,20,29
2020/21,43930,38,4,4,4,12,43,43,42,21,32
2020/21,43930,39,3,4,4,12,41,41,38,19,44
2020/21,43930,40,2,4,5,13,43,43,36,18,44
2020/21,43930,41,1,6,5,12,44,44,36,18,37
2020/21,43930,42,1,13,5,9,46,46,44,22,37
2020/21,43930,43,1,17,4,7,50,50,42,21,36
2020/21,43930,44,2,17,4,7,52,52,38,19,31
2020/21,43930,45,2,16,4,7,47,47,32,16,32
2020/21,43930,46,3,14,3,8,47,47,30,15,28
2020/21,43930,47,2,11,3,9,38,38,28,14,31
2020/21,43930,48,2,13,3,8,31,31,28,14,26
2020/21,43931,1,4,12,2,5,35,35,32,16,29
2020/21,43931,2,4,14,2,7,39,39,28,14,24
2020/21,43931,3,2,13,1,7,38,38,30,15,20
2020/21,43931,4,2,9,1,7,36,36,36,18,20
2020/21,43931,5,2,9,1,6,34,34,26,13,25
2020/21,43931,6,1,11,1,5,28,28,32,16,26
2020/21,43931,7,1,12,1,3,22,22,26,13,29
2020/21,43931,8,1,11,1,1,19,19,22,11,35
2020/21,43931,9,1,10,1,1,18,18,28,14,31
2020/21,43931,10,1,7,0,2,20,20,28,14,24
2020/21,43931,11,1,5,0,2,19,19,28,14,16
2020/21,43931,12,2,4,0,4,19,19,30,15,14
2020/21,43931,13,2,4,0,2,20,20,24,12,13
2020/21,43931,14,2,5,0,0,18,18,22,11,9
2020/21,43931,15,1,4,0,0,18,18,20,10,13
2020/21,43931,16,1,3,0,0,19,19,20,10,13
2020/21,43931,17,1,2,0,0,18,18,16,8,15
2020/21,43931,18,1,2,0,0,20,20,16,8,19
2020/21,43931,19,1,2,0,0,13,13,16,8,25
2020/21,43931,20,1,4,0,0,7,7,20,10,28
2020/21,43931,21,1,3,0,0,7,7,24,12,24
2020/21,43931,22,1,3,0,0,8,8,18,9,23
2020/21,43931,23,1,4,0,0,9,9,28,14,24
2020/21,43931,24,1,3,0,0,10,10,34,17,21
2020/21,43931,25,1,3,0,0,14,14,32,16,22
2020/21,43931,26,1,2,0,0,14,14,28,14,19
2020/21,43931,27,1,3,0,1,15,15,32,16,23
2020/21,43931,28,1,3,0,1,16,16,30,15,26
2020/21,43931,29,1,6,1,1,19,19,46,23,30
2020/21,43931,30,1,7,1,2,23,23,56,28,35
