SettlementDate,SettlementPeriod,PGCErrorPrice(£/MWh)
11/04/2020,12,-0.441177778
11/04/2020,13,-0.441177778
11/04/2020,14,-0.441177778
11/04/2020,15,-0.441177778
11/04/2020,16,-12.0254
11/04/2020,17,-0.441177778
11/04/2020,18,-0.441177778
11/04/2020,19,-22.87384444
11/04/2020,20,-21.43651111
11/04/2020,21,-21.8814
11/04/2020,22,-17.31273333
11/04/2020,23,-18.3394
11/04/2020,24,-14.21562222
11/04/2020,25,-14.13006667
11/04/2020,26,-15.03695556
11/04/2020,27,-13.08628889
11/04/2020,28,-12.55584444
11/04/2020,29,-5.779844444
11/04/2020,30,21.91273333
11/04/2020,31,7.4888
11/04/2020,32,8.149533333
11/04/2020,33,-1.5534
11/04/2020,34,1.013266667
11/04/2020,35,-29.99206667
11/04/2020,36,-40.0534
11/04/2020,37,-38.3594
11/04/2020,38,-37.79473333
11/04/2020,39,5.633266667
11/04/2020,40,14.4826
11/04/2020,41,12.55026667
11/04/2020,42,17.138
11/04/2020,43,15.81653333
11/04/2020,44,4.007711111
11/04/2020,45,5.770155556
11/04/2020,46,5.171266667
11/04/2020,47,8.710533333
11/04/2020,48,8.249266667
12/04/2020,1,8.1246
12/04/2020,2,7.688266667
12/04/2020,3,6.292
12/04/2020,4,6.715866667
12/04/2020,5,9.932266667
12/04/2020,6,10.13173333
12/04/2020,7,10.219
12/04/2020,8,11.9768
12/04/2020,9,7.812933333
12/04/2020,10,6.865466667
12/04/2020,11,6.9278
12/04/2020,12,6.042666667
12/04/2020,13,6.304466667
12/04/2020,14,5.706066667
12/04/2020,15,11.61526667
12/04/2020,16,6.503933333
12/04/2020,17,6.7626
12/04/2020,18,5.755933333
12/04/2020,19,6.813933333
12/04/2020,20,12.7622
12/04/2020,21,30.31526667
12/04/2020,22,4.367044444
12/04/2020,23,6.095266667
12/04/2020,24,4.846155556
12/04/2020,25,6.154866667
12/04/2020,26,6.9166
12/04/2020,27,7.326733333
12/04/2020,28,7.239466667
12/04/2020,29,5.942933333
12/04/2020,30,8.411333333
12/04/2020,31,6.715866667
12/04/2020,32,11.77733333
12/04/2020,33,11.02933333
12/04/2020,34,10.60546667
12/04/2020,35,6.437488889
12/04/2020,36,-2.864111111
12/04/2020,37,-16.38873333
12/04/2020,38,-32.93517778
12/04/2020,39,-31.25828889
12/04/2020,40,-27.13451111
12/04/2020,41,2.057044444
12/04/2020,42,-6.840733333
12/04/2020,43,39.19153333
12/04/2020,44,45.8986
12/04/2020,45,34.01786667
12/04/2020,46,-6.738066667
12/04/2020,47,-7.884511111
12/04/2020,48,-88.73451111
13/04/2020,1,-54.92295556
13/04/2020,2,-50.81628889
13/04/2020,3,-44.22851111
13/04/2020,4,6.117466667
13/04/2020,5,-72.30784444
13/04/2020,6,-66.90073333
13/04/2020,7,-56.66828889
13/04/2020,8,-45.56317778
13/04/2020,9,-48.18117778
13/04/2020,10,-48.0614
13/04/2020,11,19.02046667
13/04/2020,12,10.35613333
13/04/2020,13,4.7606
13/04/2020,14,3.408822222
13/04/2020,15,-7.525177778
13/04/2020,16,-4.616288889
13/04/2020,17,-20.35851111
13/04/2020,18,-15.07117778
13/04/2020,19,-2.956511111
13/04/2020,20,-16.42295556
13/04/2020,21,16.81386667
13/04/2020,22,17.3624
13/04/2020,23,13.0614
13/04/2020,24,13.46033333
13/04/2020,25,10.7426
13/04/2020,26,10.82986667
13/04/2020,27,9.8824
13/04/2020,28,11.96433333
13/04/2020,29,13.98393333
13/04/2020,30,-43.20184444
13/04/2020,31,13.19853333
13/04/2020,32,-34.40673333
13/04/2020,33,12.1638
13/04/2020,34,15.0436
13/04/2020,35,10.86726667
13/04/2020,36,10.97946667
13/04/2020,37,-53.1434
13/04/2020,38,-53.33162222
13/04/2020,39,-57.78051111
13/04/2020,40,-45.95673333
13/04/2020,41,6.728333333
13/04/2020,42,6.666
13/04/2020,43,8.1994
13/04/2020,44,-43.81784444
13/04/2020,45,-0.030511111
13/04/2020,46,5.958377778
13/04/2020,47,-32.25073333
13/04/2020,48,-23.31873333
14/04/2020,1,-26.91206667
14/04/2020,2,-27.83435556
14/04/2020,3,-32.02828889
14/04/2020,4,-24.9614
14/04/2020,5,-16.66251111
14/04/2020,6,-19.55428889
14/04/2020,7,-17.80895556
14/04/2020,8,-22.75406667
14/04/2020,9,-22.51451111
14/04/2020,10,-20.99162222
14/04/2020,11,-18.3394
14/04/2020,12,-29.8894
14/04/2020,13,-34.88584444
14/04/2020,14,-17.60362222
